"Week (2008-2009)","Visits","Unique Visits","Pageviews","Pages/Visit","Avg. Time on Site (secs.)","Bounce Rate","% New Visits","Revenue","Profit","Lbs. Sold","Inquiries","date","period"
"May 25 - May 31",1632,1509,3328,2.04,71,0.7267,0.8854,480728.006,118683.8,16585.183,13,2008-05-25,1
"Jun 1 - Jun 7",1580,1450,3097,1.96,56,0.7551,0.8734,641155.476,269604.7,18906.38,7,2008-06-01,1
"Jun 8 - Jun 14",1441,1306,3202,2.22,79,0.7398,0.8432,890076.65,275218.1,28052.924,5,2008-06-08,1
"Jun 15 - Jun 21",1452,1301,3170,2.18,81,0.7362,0.8437,552673.978,204153,19382.312,3,2008-06-15,1
"Jun 22 - Jun 28",1339,1255,2366,1.77,50,0.764,0.8925,750776.984,256091.4,24274.249,3,2008-06-22,1
"Jun 29 - Jul 5",892,841,1865,2.09,71,0.7365,0.8756,553054.693,178134.5,15308.721,5,2008-06-29,1
"Jul 6 - Jul 12",797,731,1885,2.37,80,0.6148,0.857,274567.612,62580.4,8633.059,16,2008-07-06,1
"Jul 13 - Jul 19",744,706,1916,2.58,96,0.5927,0.8884,619284.636,248458.4,17216.342,7,2008-07-13,1
"Jul 20 - Jul 26",1044,976,2670,2.56,82,0.6034,0.8669,674484.588,238498.1,17308.567,6,2008-07-20,1
"Jul 27 - Aug 2",906,850,2189,2.42,78,0.6336,0.8742,762559.123,230237.8,24571.171,6,2008-07-27,1
"Aug 3 - Aug 9",849,791,1947,2.29,91,0.6443,0.8704,479084.174,156660.1,14389.769,4,2008-08-03,1
"Aug 10 - Aug 16",737,685,1746,2.37,98,0.6282,0.8725,528270.716,186775.6,17230.826,9,2008-08-10,1
"Aug 17 - Aug 23",734,668,1946,2.65,100,0.624,0.8433,540675.973,164498.8,13801.994,10,2008-08-17,1
"Aug 24 - Aug 30",626,594,1540,2.46,91,0.6198,0.8658,768109.113,213673,26652.702,8,2008-08-24,1
"Aug 31 - Sep 6",577,537,1489,2.58,83,0.6205,0.8666,403820.108,135190.8,12402.826,8,2008-08-31,2
"Sep 7 - Sep 13",562,508,1428,2.54,82,0.589,0.8132,388745.035,148950.6,11695.439,11,2008-09-07,2
"Sep 14 - Sep 20",563,495,1547,2.75,112,0.5861,0.7851,622367.297,153421.6,26362.019,9,2008-09-14,2
"Sep 21 - Sep 27",652,585,1792,2.75,101,0.5613,0.8098,456011.808,158315.9,15771.648,6,2008-09-21,2
"Sep 28 - Oct 4",611,549,1928,3.16,109,0.5352,0.8118,951216.164,273174.7,31968.976,8,2008-09-28,2
"Oct 5 - Oct 11",561,500,1784,3.18,113,0.5365,0.7986,534541.676,167637,15531.268,10,2008-10-05,2
"Oct 12 - Oct 18",558,525,1455,2.61,97,0.6129,0.8602,537651.894,134114.7,19734.212,1,2008-10-12,2
"Oct 19 - Oct 25",570,520,1562,2.74,95,0.5737,0.8491,623710.093,228044.8,17192.882,5,2008-10-19,2
"Oct 26 - Nov 1",551,511,1560,2.83,109,0.5662,0.8385,764838.993,202702.9,22591.283,9,2008-10-26,2
"Nov 2 - Nov 8",537,507,1450,2.7,93,0.5698,0.8715,315647.109,119860.2,8992.422,8,2008-11-02,2
"Nov 9 - Nov 15",543,500,1527,2.81,109,0.5838,0.8361,610984.658,170025.5,19104.311,6,2008-11-09,2
"Nov 16 - Nov 22",558,511,1495,2.68,96,0.5771,0.8118,563524.687,189704.7,21454.986,6,2008-11-16,2
"Nov 23 - Nov 29",536,510,1515,2.83,102,0.5765,0.8731,555497.236,123129.3,18783.759,4,2008-11-23,2
"Nov 30 - Dec 6",549,498,1367,2.49,87,0.612,0.8179,432657.446,121400.4,14298.02,9,2008-11-30,2
"Dec 7 - Dec 13",545,499,1464,2.69,106,0.5908,0.8239,488985.671,152476.4,17215.118,4,2008-12-07,2
"Dec 14 - Dec 20",591,535,1469,2.49,91,0.6244,0.8274,689428.115,215420.6,27256.95,7,2008-12-14,2
"Dec 21 - Dec 27",383,366,793,2.07,76,0.6893,0.9008,343105.084,100388.4,11292.471,3,2008-12-21,2
"Dec 28 - Jan 3",402,385,827,2.06,62,0.7015,0.893,605155.426,119902.7,20147.788,1,2008-12-28,2
"Jan 4 - Jan 10",547,495,1659,3.03,120,0.5466,0.819,407276.99,134854.2,16453.807,8,2009-01-04,2
"Jan 11 - Jan 17",631,583,1745,2.77,103,0.5658,0.8542,405484.238,129973.5,12702.587,7,2009-01-11,2
"Jan 18 - Jan 24",795,734,1824,2.29,67,0.6579,0.8528,519934.137,179883.8,26303.488,6,2009-01-18,2
"Jan 25 - Jan 31",1000,930,2259,2.26,66,0.658,0.865,614454.698,113248.9,22198.855,4,2009-01-25,3
"Feb 1 - Feb 7",1207,1136,2376,1.97,68,0.7307,0.8815,516269.923,193465.1,16535.152,5,2009-02-01,3
"Feb 8 - Feb 14",2317,2229,3814,1.65,38,0.8226,0.9309,297812.749,89802.5,7814.05,7,2009-02-08,3
"Feb 15 - Feb 21",2013,1946,3303,1.64,42,0.8127,0.9314,692677.087,184368.4,28041.313,7,2009-02-15,3
"Feb 22 - Feb 28",2324,2228,3836,1.65,40,0.8072,0.9213,897163.712,266476.7,31496.257,11,2009-02-22,3
"Mar 1 - Mar 7",3726,3617,5291,1.42,28,0.8578,0.9479,417727.332,111834.5,10181.385,9,2009-03-01,3
"Mar 8 - Mar 14",2563,2482,3729,1.45,31,0.8478,0.9376,326968.752,122687.3,9727.179,4,2009-03-08,3
"Mar 15 - Mar 21",3006,2896,4510,1.5,35,0.843,0.9311,326482.161,114328.4,18323.314,8,2009-03-15,3
"Mar 22 - Mar 28",1663,1585,3037,1.83,52,0.7655,0.9092,508026.895,159944.5,17299.115,6,2009-03-22,3
"Mar 29 - Apr 4",1779,1689,2881,1.62,37,0.7886,0.9129,413937.08,143253.9,13862.038,7,2009-03-29,3
"Apr 5 - Apr 11",1086,1030,2313,2.13,63,0.6934,0.8849,422487.91,81841.4,19006.918,5,2009-04-05,3
"Apr 12 - Apr 18",1231,1166,2714,2.2,69,0.7059,0.892,376751.076,137256.3,23283.778,9,2009-04-12,3
"Apr 19 - Apr 25",1248,1178,2414,1.93,59,0.7316,0.895,410241.178,90174.8,17374.425,3,2009-04-19,3
"Apr 26 - May 2",1674,1613,2959,1.77,49,0.7855,0.9277,549750.114,138599.3,18194.93,5,2009-04-26,3
"May 3 - May 9",1514,1452,2676,1.77,48,0.7761,0.9055,268159.513,98679.9,9176.379,5,2009-05-03,3
"May 10 - May 16",1302,1246,2219,1.7,45,0.7757,0.9063,322730.193,84806.2,12880.985,7,2009-05-10,3
"May 17 - May 23",1191,1137,2400,2.02,59,0.7347,0.8976,397140.043,112040.2,15523.618,6,2009-05-17,3
"May 24 - May 30",957,912,1904,1.99,54,0.7085,0.8945,370914.262,102975.8,15406.284,5,2009-05-24,4
"May 31 - Jun 6",963,909,2156,2.24,76,0.6833,0.8692,299424.672,89826.3,14535.714,3,2009-05-31,4
"Jun 7 - Jun 13",882,848,1827,2.07,50,0.6995,0.8889,297325.954,106085.1,10397.183,3,2009-06-07,4
"Jun 14 - Jun 20",942,896,2068,2.2,73,0.6858,0.8843,336761.585,110671.7,11054.216,6,2009-06-14,4
"Jun 21 - Jun 27",835,789,1739,2.08,77,0.6635,0.8766,419302.314,100318.7,17854.913,2,2009-06-21,4
"Jun 28 - Jul 4",802,762,1764,2.2,73,0.6571,0.8965,191171.579,46906.4,7197.154,6,2009-06-28,4
"Jul 5 - Jul 11",806,750,1741,2.16,81,0.6526,0.8462,133966.902,32825.3,3825.748,7,2009-07-05,4
"Jul 12 - Jul 18",900,828,2074,2.3,65,0.6456,0.8556,615712.783,166567.7,22820.647,11,2009-07-12,4
"Jul 19 - Jul 25",860,811,1922,2.23,75,0.6465,0.8686,360032.596,121356.2,12758.075,4,2009-07-19,4
"Jul 26 - Aug 1",924,828,2131,2.31,78,0.6418,0.8193,573918.453,187698.7,22324.757,4,2009-07-26,4
"Aug 2 - Aug 8",792,737,1615,2.04,67,0.6818,0.8548,397550.1,124640.6,18565.904,5,2009-08-02,4
"Aug 9 - Aug 15",781,718,1598,2.05,69,0.6633,0.8399,282044.858,75556.5,12294.4,5,2009-08-09,4
"Aug 16 - Aug 22",776,714,1849,2.38,70,0.6379,0.8415,310116.006,82771.3,11292.505,7,2009-08-16,4
"Aug 23 - Aug 29",772,709,1767,2.29,72,0.6192,0.8523,615950.171,206441.2,23761.614,8,2009-08-23,4
